jobid,nodes,cores,mem_per_cpu,elapsed_seconds,cpu_util_pct,max_resident_kb,exit_status,notes
8355198,1,1,128M,9.80,84,83864,0,success
8355199,1,2,128M,8.01,132,78208,0,success
8355200,1,4,128M,14.40,127,133948,0,success
8355202,1,8,128M,6.14,411,148680,0,success
8355204,1,1,512M,13.57,57,166000,0,success
8355205,1,2,512M,0.24,77,10496,132,failed
8355207,1,4,512M,21.95,93,196684,0,success
8355209,1,8,512M,13.03,193,136024,0,success
8355210,1,1,1G,14.68,50,162568,0,success
8355212,1,2,1G,20.77,75,160752,0,success
8355213,1,4,1G,18.83,75,139472,0,success
8355215,1,8,1G,19.11,207,147888,0,success
8355335,2,4,1G,4.77,34,99928,1,failed during MPI_Init
8355336,2,8,1G,0.30,17,10752,132,failed
