jobid,repeat,nodes,threads,mem_per_cpu,elapsed,state,maxrss,reqmem,avecpu,totalcpu,alloccpus,nodelist,exitcode
8304561,1,1,1,64M,00:00:04,COMPLETED,,64M,,00:03.856,1,mole041,0:0
8304562,1,1,1,128M,00:00:04,COMPLETED,,128M,,00:03.762,1,mole049,0:0
8304630,1,1,1,512M,00:00:22,COMPLETED,,512M,,00:03.812,1,mole050,0:0
8304700,1,1,1,1000M,00:00:15,COMPLETED,,1000M,,00:03.598,1,mole050,0:0
8304752,1,1,1,1500M,00:00:05,COMPLETED,,1500M,,00:03.157,1,mole050,0:0
8304802,1,1,1,3000M,00:00:03,COMPLETED,,3000M,,00:03.195,1,mole050,0:0
8304807,1,1,2,64M,00:00:02,COMPLETED,,128M,,00:03.838,2,mole049,0:0
8304822,1,1,2,128M,00:00:03,COMPLETED,,256M,,00:03.684,2,mole050,0:0
8304833,1,1,2,512M,00:00:02,COMPLETED,,1G,,00:03.541,2,mole050,0:0
8304873,1,1,2,1000M,00:00:02,COMPLETED,,2000M,,00:03.697,2,mole050,0:0
8304874,1,1,2,1500M,00:00:02,COMPLETED,,3000M,,00:03.513,2,mole050,0:0
8304947,1,1,2,3000M,00:00:20,COMPLETED,,6000M,,00:04.495,2,mole052,0:0
8305005,1,1,4,64M,00:00:02,COMPLETED,,256M,,00:04.371,4,mole050,0:0
8305013,1,1,4,128M,00:00:04,COMPLETED,,512M,,00:04.412,4,mole050,0:0
8305018,1,1,4,512M,00:00:02,COMPLETED,,2G,,00:04.315,4,mole050,0:0
8305029,1,1,4,1000M,00:00:02,COMPLETED,,4000M,,00:04.386,4,mole050,0:0
8305061,1,1,4,1500M,00:00:02,COMPLETED,,6000M,,00:04.322,4,mole050,0:0
8305123,1,1,4,3000M,00:00:20,COMPLETED,,12000M,,00:05.090,4,mole008,0:0
8305445,1,1,8,64M,00:00:02,COMPLETED,,512M,,00:05.777,8,mole050,0:0
8305460,1,1,8,128M,00:00:02,COMPLETED,,1G,,00:05.791,8,mole050,0:0
8305469,1,1,8,512M,00:00:02,COMPLETED,,4G,,00:05.815,8,mole050,0:0
8305483,1,1,8,1000M,00:00:19,COMPLETED,,8000M,,00:06.718,8,mole078,0:0
8305531,1,1,8,1500M,00:00:03,COMPLETED,,12000M,,00:06.745,8,mole008,0:0
8305543,1,1,8,3000M,00:00:20,COMPLETED,,24000M,,00:06.196,8,mole100,0:0
8307430,1,1,16,64M,00:00:20,COMPLETED,,1G,,00:09.136,16,mole084,0:0
8307913,1,1,16,128M,00:00:07,COMPLETED,,2G,,00:08.694,16,mole084,0:0
8307917,1,1,16,512M,00:00:03,COMPLETED,,8G,,00:08.437,16,mole084,0:0
8307920,1,1,16,1000M,00:00:02,COMPLETED,,16000M,,00:08.477,16,mole084,0:0
8307922,1,1,16,1500M,00:00:01,COMPLETED,,24000M,,00:08.980,16,mole084,0:0
8307925,1,2,2,64M,00:00:03,COMPLETED,,128M,,00:04.201,2,mole043,0:0
8307980,1,2,2,128M,00:00:03,COMPLETED,,256M,,00:03.882,2,mole041,0:0
8308003,1,2,2,512M,00:00:04,COMPLETED,,1G,,00:04.197,2,mole043,0:0
8308030,1,2,2,1000M,00:00:03,COMPLETED,,2000M,,00:04.228,2,mole043,0:0
8308031,1,2,2,1500M,00:00:19,COMPLETED,,3000M,,00:04.418,2,mole028,0:0
8308137,1,2,2,3000M,00:00:02,COMPLETED,,6000M,,00:04.118,2,mole028,0:0
8308181,1,2,4,64M,00:00:02,COMPLETED,,256M,,00:04.293,4,mole041,0:0
8308226,1,2,4,128M,00:00:03,COMPLETED,,512M,,00:04.753,4,mole028,0:0
8308247,1,2,4,512M,00:00:18,COMPLETED,,2G,,00:05.134,4,mole080,0:0
8308389,1,2,4,1000M,00:00:03,COMPLETED,,4000M,,00:04.729,4,mole028,0:0
8308402,1,2,4,1500M,00:00:02,COMPLETED,,6000M,,00:04.730,4,mole028,0:0
8308424,1,2,4,3000M,00:00:02,COMPLETED,,12000M,,00:04.730,4,mole028,0:0
8308456,1,2,8,64M,00:00:17,COMPLETED,,512M,,00:06.414,8,mole029,0:0
8308559,1,2,8,128M,00:00:13,COMPLETED,,1G,,00:06.147,8,mole029,0:0
8308639,1,2,8,512M,00:00:05,COMPLETED,,4G,,00:05.764,8,mole029,0:0
8308659,1,2,8,1000M,00:00:05,COMPLETED,,8000M,,00:07.106,8,mole052,0:0
8308685,1,2,8,1500M,00:00:01,COMPLETED,,12000M,,00:05.712,8,mole029,0:0
8308695,1,2,8,3000M,00:00:01,COMPLETED,,24000M,,00:05.705,8,mole029,0:0
8308790,1,2,16,64M,00:00:02,COMPLETED,,1G,,00:08.569,16,mole084,0:0
8308800,1,2,16,128M,00:00:03,COMPLETED,,2G,,00:08.514,16,mole084,0:0
8308819,1,2,16,512M,00:00:03,COMPLETED,,8G,,00:08.408,16,mole084,0:0
8308865,1,2,16,1000M,00:00:01,COMPLETED,,16000M,,00:08.450,16,mole084,0:0
8308874,1,2,16,1500M,00:00:01,COMPLETED,,24000M,,00:08.418,16,mole084,0:0
8308929,1,4,4,64M,00:00:02,COMPLETED,,256M,,00:04.220,4,mole052,0:0
8309006,1,4,4,128M,00:00:02,COMPLETED,,512M,,00:04.198,4,mole052,0:0
8309007,1,4,4,512M,00:00:02,COMPLETED,,2G,,00:04.934,4,mole080,0:0
8309081,1,4,4,1000M,00:00:02,COMPLETED,,4000M,,00:04.232,4,mole052,0:0
8309098,1,4,4,1500M,00:00:02,COMPLETED,,6000M,,00:04.908,4,mole080,0:0
8309117,1,4,4,3000M,00:00:02,COMPLETED,,12000M,,00:04.729,4,mole028,0:0
8309167,1,4,8,64M,00:00:02,COMPLETED,,512M,,00:06.977,8,mole052,0:0
8309224,1,4,8,128M,00:00:04,COMPLETED,,1G,,00:06.779,8,mole052,0:0
8309246,1,4,8,512M,00:00:02,COMPLETED,,4G,,00:06.899,8,mole052,0:0
8309275,1,4,8,1000M,00:00:03,COMPLETED,,8000M,,00:07.034,8,mole052,0:0
8309318,1,4,8,1500M,00:00:01,COMPLETED,,12000M,,00:05.706,8,mole029,0:0
8309394,1,4,8,3000M,00:00:01,COMPLETED,,24000M,,00:05.708,8,mole029,0:0
8309429,1,4,16,64M,00:00:03,COMPLETED,,1G,,00:08.459,16,mole084,0:0
8309431,1,4,16,128M,00:00:03,COMPLETED,,2G,,00:08.434,16,mole084,0:0
8309458,1,4,16,512M,00:00:01,COMPLETED,,8G,,00:08.469,16,mole084,0:0
8309488,1,4,16,1000M,00:00:01,COMPLETED,,16000M,,00:08.485,16,mole084,0:0
8309490,1,4,16,1500M,00:00:02,COMPLETED,,24000M,,00:08.472,16,mole084,0:0
